
        Using the ‘Hi Temperature’ values produce a “.txt” file containing all of the Dates and Times
        where the “Hi Temperature” was within +/- 1 degree of 22.3 or the “Low Temperature” was
        within +/- 0.2 degree higher or lower of 10.3 over the first 9 days of June
Date: 2006-06-08, Time: 05:10, Hi: 10.4, Low: 10.3
Date: 2006-06-08, Time: 05:20, Hi: 10.4, Low: 10.4
Date: 2006-06-08, Time: 05:30, Hi: 10.4, Low: 10.4
Date: 2006-06-08, Time: 05:40, Hi: 10.5, Low: 10.4
Date: 2006-06-08, Time: 05:50, Hi: 10.6, Low: 10.4
Date: 2006-06-09, Time: 03:00, Hi: 10.6, Low: 10.3
Date: 2006-06-09, Time: 03:10, Hi: 10.3, Low: 10.2
Date: 2006-06-09, Time: 08:40, Hi: 10.3, Low: 10.2
Date: 2006-06-09, Time: 08:50, Hi: 10.4, Low: 10.3
Date: 2006-06-09, Time: 09:00, Hi: 10.7, Low: 10.4
Date: 2006-06-09, Time: 22:50, Hi: 10.6, Low: 10.5
Date: 2006-06-09, Time: 23:00, Hi: 10.5, Low: 10.4
Date: 2006-06-09, Time: 23:10, Hi: 10.4, Low: 10.4
Date: 2006-06-09, Time: 23:20, Hi: 10.4, Low: 10.3
Date: 2006-06-09, Time: 23:30, Hi: 10.3, Low: 10.3
Date: 2006-06-09, Time: 23:40, Hi: 10.3, Low: 10.2
Date: 2006-06-09, Time: 23:50, Hi: 10.2, Low: 10.2
